time_sec,target_rps,actual_sent,success_count,fail_count,sla_violation_count,avg_latency_ms,p95_latency_ms,active_ports,scenario,phase
115,83,83,83,0,0,267.67,287.15,"8001,8002,8003",sale_event,normal
116,99,99,99,0,0,310.78,345.23,"8001,8002,8003",sale_event,normal
117,91,91,91,0,0,270.67,309.42,"8001,8002,8003",sale_event,normal
118,94,94,94,0,0,296.66,305.21,"8001,8002,8003",sale_event,normal
119,82,82,82,0,0,253.64,267.91,"8001,8002,8003",sale_event,normal
120,81,81,81,0,0,233.95,284.71,"8001,8002,8003",sale_event,normal
121,83,83,83,0,0,260.18,286.54,"8001,8002,8003",sale_event,normal
122,91,91,91,0,0,285.91,314.08,"8001,8002,8003",sale_event,normal
123,93,93,93,0,0,296.05,315.33,"8001,8002,8003",sale_event,normal
124,85,85,85,0,0,245.5,284.96,"8001,8002,8003",sale_event,normal
125,83,83,83,0,0,259.33,271.45,"8001,8002,8003",sale_event,normal
126,82,82,82,0,0,254.93,280.03,"8001,8002,8003",sale_event,normal
127,87,87,87,0,0,253.13,302.41,"8001,8002,8003",sale_event,normal
128,90,90,90,0,0,252.47,297.72,"8001,8002,8003",sale_event,normal
129,95,95,95,0,0,296.67,322.91,"8001,8002,8003",sale_event,normal
130,89,89,89,0,0,266.97,316.24,"8001,8002,8003",sale_event,normal
131,95,95,95,0,0,283.04,315.5,"8001,8002,8003",sale_event,normal
132,95,95,95,0,0,305.1,408.42,"8001,8002,8003",sale_event,normal
133,88,88,88,0,0,297.04,371.46,"8001,8002,8003",sale_event,normal
134,100,100,100,0,0,283.89,366.72,"8001,8002,8003",sale_event,normal
135,89,89,89,0,0,288.98,301.28,"8001,8002,8003",sale_event,normal
136,95,95,95,0,0,304.96,342.95,"8001,8002,8003",sale_event,normal
137,87,87,87,0,0,259.1,355.9,"8001,8002,8003",sale_event,normal
138,83,83,83,0,0,283.43,366.96,"8001,8002,8003",sale_event,normal
139,92,92,92,0,0,283.67,311.2,"8001,8002,8003",sale_event,normal
140,99,99,99,0,0,325.67,332.53,"8001,8002,8003",sale_event,normal
141,86,86,86,0,0,255.96,314.52,"8001,8002,8003",sale_event,normal
142,90,90,90,0,0,273.8,300.89,"8001,8002,8003",sale_event,normal
143,93,93,93,0,0,276.99,312.69,"8001,8002,8003",sale_event,normal
144,99,99,99,0,0,297.18,333.55,"8001,8002,8003",sale_event,normal
145,96,96,96,0,0,301.39,330.35,"8001,8002,8003",sale_event,normal
146,81,81,81,0,0,242.26,264.57,"8001,8002,8003",sale_event,normal
147,90,90,90,0,0,288.53,301.65,"8001,8002,8003",sale_event,normal
148,98,98,98,0,0,294.2,332.03,"8001,8002,8003",sale_event,normal
149,86,86,86,0,0,270.05,295.62,"8001,8002,8003",sale_event,normal
150,81,81,81,0,0,255.29,307.96,"8001,8002,8003",sale_event,normal
151,100,100,100,0,0,290.52,327.28,"8001,8002,8003",sale_event,normal
152,94,94,94,0,0,280.52,303.95,"8001,8002,8003",sale_event,normal
153,91,91,91,0,0,275.24,300.69,"8001,8002,8003",sale_event,normal
154,93,93,93,0,0,282.01,301.07,"8001,8002,8003",sale_event,normal
155,95,95,95,0,0,284.01,339.76,"8001,8002,8003",sale_event,normal
156,80,80,80,0,0,259.82,287.86,"8001,8002,8003",sale_event,normal
157,100,100,100,0,0,275.65,325.52,"8001,8002,8003",sale_event,normal
158,99,99,99,0,0,312.7,337.91,"8001,8002,8003",sale_event,normal
159,96,96,96,0,0,304.41,323.76,"8001,8002,8003",sale_event,normal
160,91,91,91,0,0,303.28,353.72,"8001,8002,8003",sale_event,normal
161,92,92,92,0,0,366.77,432.31,"8001,8002,8003",sale_event,normal
162,80,80,80,0,0,302.92,346.52,"8001,8002,8003",sale_event,normal
163,91,91,91,0,0,274.57,327.21,"8001,8002,8003",sale_event,normal
164,83,83,83,0,0,250.05,353.38,"8001,8002,8003",sale_event,normal
165,87,87,87,0,0,271.63,291.39,"8001,8002,8003",sale_event,normal
166,84,84,84,0,0,268.99,277.67,"8001,8002,8003",sale_event,normal
167,86,86,86,0,0,250.58,278.8,"8001,8002,8003",sale_event,normal
168,82,82,82,0,0,236.6,277.24,"8001,8002,8003",sale_event,normal
169,100,100,100,0,0,318.75,334.04,"8001,8002,8003",sale_event,normal
170,92,92,92,0,0,292.28,322.09,"8001,8002,8003",sale_event,normal
171,89,89,89,0,0,278.03,304.61,"8001,8002,8003",sale_event,normal
172,84,84,84,0,0,260.97,290.67,"8001,8002,8003",sale_event,normal
173,93,93,93,0,0,347.63,415.6,"8001,8002,8003",sale_event,normal
174,83,83,83,0,0,289.66,424.23,"8001,8002,8003",sale_event,normal
175,80,80,80,0,0,236.31,300.71,"8001,8002,8003",sale_event,normal
176,99,99,99,0,0,352.77,500.47,"8001,8002,8003",sale_event,normal
177,84,84,84,0,0,264.07,305.74,"8001,8002,8003",sale_event,normal
178,100,100,100,0,0,328.21,370.32,"8001,8002,8003",sale_event,normal
179,80,80,80,0,0,296.81,352.93,"8001,8002,8003",sale_event,normal
180,88,88,88,0,0,289.35,348.02,"8001,8002,8003",sale_event,normal
181,97,97,97,0,0,355.3,411.21,"8001,8002,8003",sale_event,normal
182,82,82,82,0,0,231.83,298.55,"8001,8002,8003",sale_event,normal
183,98,98,98,0,0,307.65,329.77,"8001,8002,8003",sale_event,normal
184,87,87,87,0,0,263.0,295.45,"8001,8002,8003",sale_event,normal
185,99,99,99,0,0,300.01,318.67,"8001,8002,8003",sale_event,normal
186,93,93,93,0,0,287.97,312.34,"8001,8002,8003",sale_event,normal
187,81,81,81,0,0,254.0,267.79,"8001,8002,8003",sale_event,normal
188,94,94,94,0,0,286.82,307.26,"8001,8002,8003",sale_event,normal
189,82,82,82,0,0,221.98,274.28,"8001,8002,8003",sale_event,normal
190,92,92,92,0,0,286.87,300.13,"8001,8002,8003",sale_event,normal
191,93,93,93,0,0,235.18,304.27,"8001,8002,8003",sale_event,normal
192,86,86,86,0,0,277.84,306.61,"8001,8002,8003",sale_event,normal
193,95,95,95,0,0,294.62,313.92,"8001,8002,8003",sale_event,normal
194,97,97,97,0,0,302.75,315.95,"8001,8002,8003",sale_event,normal
195,89,89,89,0,0,251.98,293.87,"8001,8002,8003",sale_event,normal
196,83,83,83,0,0,266.26,283.27,"8001,8002,8003",sale_event,normal
197,81,81,81,0,0,257.64,267.69,"8001,8002,8003",sale_event,normal
198,86,86,86,0,0,268.44,287.72,"8001,8002,8003",sale_event,normal
199,100,100,100,0,0,291.07,331.69,"8001,8002,8003",sale_event,normal
200,94,94,94,0,0,289.11,325.21,"8001,8002,8003",sale_event,normal
201,93,93,93,0,0,269.89,300.78,"8001,8002,8003",sale_event,ramp_up
202,97,97,97,0,0,275.54,321.86,"8001,8002,8003",sale_event,ramp_up
203,111,111,111,0,0,336.06,381.58,"8001,8002,8003",sale_event,ramp_up
204,110,110,110,0,0,328.93,369.97,"8001,8002,8003",sale_event,ramp_up
205,102,102,102,0,0,316.7,350.64,"8001,8002,8003",sale_event,ramp_up
206,109,109,109,0,0,329.43,340.42,"8001,8002,8003",sale_event,ramp_up
207,113,113,113,0,0,350.6,385.31,"8001,8002,8003",sale_event,ramp_up
208,114,114,114,0,0,327.3,364.08,"8001,8002,8003",sale_event,ramp_up
209,113,113,113,0,0,341.83,400.6,"8001,8002,8003",sale_event,ramp_up
210,96,96,96,0,0,284.94,341.87,"8001,8002,8003",sale_event,ramp_up
211,105,105,105,0,0,330.68,364.35,"8001,8002,8003",sale_event,ramp_up
212,99,99,99,0,0,275.89,342.17,"8001,8002,8003",sale_event,ramp_up
213,115,115,115,0,0,344.28,373.49,"8001,8002,8003",sale_event,ramp_up
214,119,119,119,0,0,367.84,392.2,"8001,8002,8003",sale_event,ramp_up
215,111,111,111,0,0,341.49,372.16,"8001,8002,8003",sale_event,ramp_up
216,110,110,110,0,0,319.05,356.41,"8001,8002,8003",sale_event,ramp_up
217,104,104,104,0,0,304.8,345.56,"8001,8002,8003",sale_event,ramp_up
218,115,115,115,0,0,345.85,378.43,"8001,8002,8003",sale_event,ramp_up
219,103,103,103,0,0,317.32,348.85,"8001,8002,8003",sale_event,ramp_up
220,121,121,121,0,0,378.05,407.18,"8001,8002,8003",sale_event,ramp_up
221,118,118,118,0,0,358.53,428.71,"8001,8002,8003",sale_event,ramp_up
222,106,106,106,0,0,334.72,351.18,"8001,8002,8003",sale_event,ramp_up
223,124,124,124,0,0,378.25,445.71,"8001,8002,8003",sale_event,ramp_up
224,116,116,116,0,0,350.97,387.11,"8001,8002,8003",sale_event,ramp_up
225,128,128,128,0,0,379.74,425.25,"8001,8002,8003",sale_event,ramp_up
226,110,110,110,0,0,365.07,388.94,"8001,8002,8003",sale_event,ramp_up
227,113,113,113,0,0,331.62,370.88,"8001,8002,8003",sale_event,ramp_up
